Opponent,Game,Player Name,URL,Week,Date,Game Start,Year,Season
HOU,1,Julius Adams,http://www.nfl.com/player/juliusadams/2508215/gamelogs,5,10/18,--,Game Log: 1987 ,Regular Season
DAL,0,Be Adams,http://www.nfl.com/player/brentadams/2508197/gamelogs,7,10/14,--,Game Log: 1979 ,Regular Season
BAL,1,Jama Adams,http://www.nfl.com/player/jamaradams/1820/gamelogs,1,08/11,0,Game Log: 2011 ,Preseason
HOU,1,Davi Adams,http://www.nfl.com/player/darvinadams/2495444/gamelogs,1,08/11,0,Game Log: 2012 ,Preseason
TEN,1,Jeff Adams,http://www.nfl.com/player/jeffadams/2534763/gamelogs,1,08/12,0,Game Log: 2017 ,Preseason
DEN,1,Coey Adams,http://www.nfl.com/player/coreyadams/2530936/gamelogs,1,08/11,0,Game Log: 2011 ,Preseason
BAL,0,D.J. Adams,http://www.nfl.com/player/d.j.adams/2550537/gamelogs,2,08/16,0,Game Log: 2014 ,Preseason
ATL,1,Daell Adams,http://www.nfl.com/player/darrelladams/2506827/gamelogs,1,08/10,0,Game Log: 2007 ,Preseason
KC,1,Chese Adams,http://www.nfl.com/player/chesteradams/4503/gamelogs,1,08/07,0,Game Log: 2008 ,Preseason
CHI,1,Chalie Adams,http://www.nfl.com/player/charlieadams/2504952/gamelogs,1,08/11,0,Game Log: 2007 ,Preseason
RAI,0,Cuis Adams,http://www.nfl.com/player/curtisadams/2508196/gamelogs,1,09/04,--,Game Log: 1988 ,Regular Season
JAC,1,Blue Adams,http://www.nfl.com/player/blueadams/2505541/gamelogs,1,08/09,0,Game Log: 2008 ,Preseason
TB,0,Theo Adams,http://www.nfl.com/player/theoadams/2508190/gamelogs,1,09/03,0,Game Log: 1995 ,Regular Season
GB,1,Toy Adams,http://www.nfl.com/player/tonyadams/2508191/gamelogs,3,10/04,--,Game Log: 1987 ,Regular Season
ARI,1,Joe Adams,http://www.nfl.com/player/joeadams/2532782/gamelogs,1,08/09,0,Game Log: 2014 ,Preseason
DEN,0,Jose Acua,http://www.nfl.com/player/joseacuna/2530935/gamelogs,1,08/11,0,Game Log: 2011 ,Preseason
ATL,1,Ahoy Adams,http://www.nfl.com/player/anthonyadams/2505588/gamelogs,1,09/11,0,Game Log: 2011 ,Regular Season
DET,1,Mike Adamle,http://www.nfl.com/player/mikeadamle/2508188/gamelogs,1,09/12,--,Game Log: 1976 ,Regular Season
SF,1,Aao Adams,http://www.nfl.com/player/aaronadams/2541574/gamelogs,1,08/15,0,Game Log: 2015 ,Preseason
BAL,1,Tom Ackema,http://www.nfl.com/player/tomackerman/2499354/gamelogs,18,01/03,0,Game Log: 2003 ,Postseason
CHI,1,Fed Aco,http://www.nfl.com/player/fredacorn/2508185/gamelogs,1,09/02,--,Game Log: 1984 ,Regular Season
KC,1,Rick Ackema,http://www.nfl.com/player/rickackerman/2508182/gamelogs,3,10/04,--,Game Log: 1987 ,Regular Season
MIA,1,Bill Acke,http://www.nfl.com/player/billacker/2508181/gamelogs,4,10/11,--,Game Log: 1987 ,Regular Season
SF,1,Ro Acks,http://www.nfl.com/player/ronacks/2508184/gamelogs,1,09/12,--,Game Log: 1976 ,Regular Season
CLE,0,D.D. Acholou,http://www.nfl.com/player/d.d.acholonu/2505823/gamelogs,17,01/02,0,Game Log: 2004 ,Regular Season
HOU,0,Coey Acosa,http://www.nfl.com/player/coreyacosta/2554139/gamelogs,1,08/15,0,Game Log: 2015 ,Preseason
MIN,1,Keeh Acke,http://www.nfl.com/player/kennethacker/2549981/gamelogs,2,08/18,0,Game Log: 2018 ,Preseason
MIA,0,Emmauel Acho,http://www.nfl.com/player/emmanuelacho/2532781/gamelogs,10,11/15,0,Game Log: 2015 ,Regular Season
PIT,1,Geoge Achica,http://www.nfl.com/player/georgeachica/2508177/gamelogs,1,09/08,--,Game Log: 1985 ,Regular Season
GB,1,Seve Ache,http://www.nfl.com/player/steveache/2508176/gamelogs,3,10/04,--,Game Log: 1987 ,Regular Season
DAL,1,Dick Abshe,http://www.nfl.com/player/dickabsher/2508175/gamelogs,1,09/17,--,Game Log: 1972 ,Regular Season
TB,1,Kevi Abams,http://www.nfl.com/player/kevinabrams/2499353/gamelogs,8,10/31,0,Game Log: 1999 ,Regular Season
BUF,1,Sid Abamowiz,http://www.nfl.com/player/sidabramowitz/2508164/gamelogs,3,10/04,--,Game Log: 1987 ,Regular Season
IND,1,Robe Abaham,http://www.nfl.com/player/robertabraham/2508160/gamelogs,11,11/29,--,Game Log: 1987 ,Regular Season
SD,1,Joh Abaham,http://www.nfl.com/player/johnabraham/2504171/gamelogs,1,09/08,1,Game Log: 2014 ,Regular Season
BAL,0,Day Abamowicz,http://www.nfl.com/player/dannyabramowicz/2508163/gamelogs,4,10/12,--,Game Log: 1975 ,Regular Season
CLE,1,Chad Abam,http://www.nfl.com/player/chadabram/2550174/gamelogs,1,08/09,0,Game Log: 2014 ,Preseason
JAC,0,Vico Abiamii,http://www.nfl.com/player/victorabiamiri/2495525/gamelogs,1,08/13,0,Game Log: 2010 ,Preseason
SD,1,Doie Abaham,http://www.nfl.com/player/donnieabraham/2499352/gamelogs,18,01/08,1,Game Log: 2004 ,Postseason
NYG,0,Rob Abiamii,http://www.nfl.com/player/robabiamiri/2506295/gamelogs,1,08/11,0,Game Log: 2006 ,Preseason
WAS,0,Clifo Abaham,http://www.nfl.com/player/cliftonabraham/2499351/gamelogs,1,08/31,0,Game Log: 1997 ,Regular Season
DEN,1,Khalid Abdullah,http://www.nfl.com/player/khalidabdullah/2505473/gamelogs,1,09/07,0,Game Log: 2003 ,Regular Season
IND,1,Rabih Abdullah,http://www.nfl.com/player/rabihabdullah/2499349/gamelogs,19,01/16,0,Game Log: 2004 ,Postseason
JAC,1,Rahim Abdullah,http://www.nfl.com/player/rahimabdullah/2499350/gamelogs,1,09/03,0,Game Log: 2000 ,Regular Season
